뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
02100601.20230509173928001,20230509,한국경제,유오상,'아름다운 우리 아파트' 사진 찍고 상금도 받고,문화>전시_공연, 문화>미술_건축, 문화>생활,,,,,"전주시,서초동,해운대구,서울,코엑스,전북,부산,아름다운주택포럼,삼성동","국토교통부,한국경제신문사,대한건축사협회","아파트,사진,상금,사단,법인,주택,포럼,아가포럼,한국경제신문사,대한건축사협회,공동,이달,제8회,공모전,아파트,사진,진행,아파트,주변,환경,주제,공모,최대,상금,국토,교통부,장관상,대상,사진,촬영,아파트,입주민,이웃,활동,모습,주변,자연환경,아파트,단지,개별,건축물,조경시설,오브제,조화,모습,공모,참여,자격,거주지,제한,1인,작품,출품,사진,촬영,설명,100자,아가,포럼,홈페이지,제출,카메라,기종,제한,스마트폰,사진,권장,공모전,전북,전주시,평화,하이존아파트,오리온,별자리,정희창,아파트,부산,해운대구,우일맨션,아파트,풍경,스마트폰,송은식,연인,아파트,풍경,대상,공동,당선작,대한건축사협회,서울,서초동,시상식,대상,수상자,국토,교통부,장관,상금,우수,수상자,상금,수여,당선작,대한건축사협회,전시,D홀,서울,삼성동,코엑스,집코노미,박람회,전시,행사,마련","대한건축사협회,서울,수상자,공모전,당선작,홈페이지,아가포럼,장관상,스마트폰,코엑스,하이존아파트,전북,교통부,정희창,송은식,조경시설,건축물,오브제,집코노미,오리온","사단법인 아름다운주택포럼(아가포럼)이 한국경제신문사, 대한건축사협회와 공동으로 이달 말까지 ‘제8회 아름다운 우리 아파트 사진 공모전’을 진행한다. ‘살고 있는 아파트와 주변 환경에서 아름다움 찾기’라는 주제로 열리는 공모에는 최대 300만원의 상금과 국토교통부 장관상이 주어진다. 
 
사진 촬영 대상은 아파트 입주민과 이웃의 다양한 활동과 모습, 주변..",https://www.hankyung.com/realestate/article/2023050930131,
07101201.20230509142031001,20230509,디지털타임스,김수연,"""봄 나들이 사진 찍어야지"" 하이마트 카메라 매출 25% ↑",경제>유통, 경제>서비스_쇼핑, IT_과학>콘텐츠,,,,,,"하이마트,롯데하이마트","사진,나들이,하이마트,카메라,매출,25%,코로나19,엔데믹,풍토병화,전환,기온,나들,수요,카메라,매출,SNS,일상화,사진,영상,촬영,나들이,중요,차지,영향,롯데하이마트,본격적,시작,이달,매출,결과,카메라,매출,기간,25%,증가,9일,브이,영상,사진,촬영,제작,SNS,콘텐츠,편리,미러리스,카메라,매출,기간,55%,신장,카메라,매출,상승,미러리스,카메라,스마트폰,장착,카메라,이미지,센서,화소,화질,DSLR,수요,지속적,증가,롯데하이마트,2020년,카메라,상품군,품목별,미러리스,DSLR,디지털,매출,동향,결과,미러리스,카메라,매출,비중,2021년,55%,,5월,65%,,70%,지속적,증가,카메라,DSLR,매출,비중,15%,디지털카메라,14%,롯데하이마트,트렌드,반영,카메라,판매대,브랜드,미러리스,카메라,전면,배치,진열,15일,31일,고속,촬영,특화,캐논,미러리스,카메라,EOS-R,구매,구매,롯데모바일,상품권,제공,행사,진행,휴대용,휴대,프로젝터,매출,기간,6배,텐트,캠핑의자,캠핑그릴,버너,캠핑,용품,매출,4배,휴대용,프로젝터,휴대,캠핑,시즌,인기,품목,설치,야외,활동,영상,콘텐츠,화면,사람들,수요,출시,휴대용,휴대,프로젝터,상품,최대,인치,크기,화면,출력,가능,야외,개인,영화관,분위기,영상,감상,회사,설명,본격적,캠핑,시즌,시작,휴대용,프로젝터,휴대,수요,지속적,회사","미러리스,휴대용,롯데하이마트,dslr,캐논,sns,하이마트,풍토병,풍토병화,상품권,엔데믹","코로나19 엔데믹(풍토병화) 전환 이후 첫 봄을 맞은 가운데, 기온이 올라가고 나들이 수요가 늘자 카메라 매출이 껑충 뛰고 있다.



SNS가 일상화되며 사진이나 영상 촬영이 나들이의 중요한 부분을 차지하게 된 영향이 큰 것으로 보인다.



롯데하이마트는 봄이 본격적으로 시작된 지난 3월 1일부터 이달 7일까지의 매출을 분석한 결과, 카메라 매출이 ..",http://www.dt.co.kr/contents.html?article_no=2023050902109932102004&ref=jeadan,
02100601.20230509134410001,20230509,한국경제,유오상,"""우리 아파트 찍고 상금까지"" 제8회 아름다운 우리 아파트 사진 공모전",문화>전시_공연, 문화>미술_건축,,,,,,"전주시,서초동,해운대구,서울,코엑스,전북,부산,아름다운주택포럼,삼성동","국토교통부,한국경제신문사,대한건축사협회","아파트,상금,제8회,공모전,아파트,사진,사단,법인,주택,포럼,아가포럼,한국경제신문사,대한건축사협회,공동,주최,제8회,공모전,아파트,사진,이달,진행,아파트,주변,환경,주제,공모전,최대,상금,국토,교통부,장관,수여,공모,사진,아파트,주민,것들,주변,자연환경,아파트,단지,아파트,가족,친구,연인,주민,이야기,자연,모습,개별,건축물,수목,조경시설,조화,모습,공모,참여,자격,거주지,제한,1인,작품,출품,사진,촬영,설명,100자,아가,포럼,홈페이지,제출,카메라,기종,제한,스마트폰,사진,권장,공모전,전북,전주시,평화,하이존아파트,오리온,별자리,정희창,아파트,대상,부산,해운대구,우일맨션,아파트,풍경,스마트폰,송은식,연인,아파트,풍경,공동,당선작,시상식,대한건축사협회,서울,서초동,대상,수상자,국토,교통부,장관,상금,최우수상,상금,수여,우수상,입선,상장,상금,당선작,8일,대한건축사협회,전시,9월,서울,삼성동,코엑스,진행,집코노미,박람회,전시,아가포럼,국토,주거,분야,전문가,자발적,사단,법인,주택,동네,품격,국토,향상,기여,지원,활동","공모전,서울,대한건축사협회,아가포럼,당선작,홈페이지,스마트폰,코엑스,하이존아파트,전북,정희창,송은식,부산,제8회,조경시설,건축물,전문가,오리온,시상식,거주지,1인,전주시,별자리","사단법인 아름다운주택포럼(아가포럼)과 한국경제신문사, 대한건축사협회가 공동으로 주최하는 ‘제8회 아름다운 우리 아파트 사진 공모전’이 이달 말까지 진행된다. ‘살고 있는 아파트와 주변 환경에서 아름다움 찾기’라는 주제로 열리는 공모전엔 최대 300만원의 상금과 국토교통부 장관상이 수여된다. 
 
 
공모 사진은 아파트 주민으로 살며 느낀 아름다운 것들,..",https://www.hankyung.com/realestate/article/202305091370i,
07101201.20230509101112001,20230509,디지털타임스,김나인,`갤럭시Z플립5` 외부화면 확 넓어지나,IT_과학>모바일,,,,,,,,"구글,샘모바일,퀄컴,삼성전자","갤럭시Z플립5,외부화면,올여름,공개,삼성전자,갤럭시,플립,크기,커버,디스플레이,해외,매체,샘모바일,유명,유명,팁스터,아이스,유니버스,유출,Z플립,보호,케이스,공개,케이스,사진,커버,디스플레이,전작,예상,해외,매체,토대,Z플립,5가,3~4인치,전작,커버,디스플레이,크기,1.9인치,커버,디스,플레이,길이,정사각형,예상,전작,가로,길이,직사각,모양,보호,케이스,카메라,크기,렌즈,전작,동일,2개,탑재,전망,커버,디스플레이,스마트폰,상태,폴더블폰,고질적,지적,힌지,경첩,주름,개선,예상,배터리,소모량,해결,해외,매체,Z플립,AP,애플리케이션,프로세서,2세대,퀄컴,스냅드래곤,탑재,예상,삼성전자,내달,구글,폴더블폰,픽셀,폴드,출시,폴더블폰,경쟁,치열,전망,삼성전자,폴더블폰,행사,8월,진행,업계,시점,8월,마지막,예상","폴더블폰,삼성전자,샘모바일,팁스터,퀄컴,z플립,플립,갤럭시,힌지,2세대,소모량,올여름,외부화면,정사각형,5가,픽셀,2개,구글,스냅드래곤,정사각,스마트폰,디스,직사각,ap,갤럭시z플립5","올여름 공개를 앞둔 삼성전자 '갤럭시Z플립5'의 커버 디스플레이 크기가 커질 것으로 보인다. 



9일 해외 IT매체 샘모바일과 유명 IT 팁스터 아이스유니버스 등에 유출된 'Z플립5'의 보호 케이스가 공개됐다. 케이스 사진을 보면, 커버 디스플레이가 전작 'Z플립4'보다 커질 것으로 예상된다. 해외 매체들은 이를 토대로 Z플립5가 3~4인치로 커질 ..",http://www.dt.co.kr/contents.html?article_no=2023050902109931029002&ref=jeadan,
07100501.20230509092514001,20230509,전자신문,박효주,"롯데하이마트, 나들이족에 카메라 매출 ‘쑥’...미러리스 인기",경제>유통, 경제>서비스_쇼핑, IT_과학>인터넷_SNS,,,,손우랑,,"캐논,롯데하이마트","롯데하이마트,나들이족,카메라,매출,미러리스,인기,엔데믹,나들이족,카메라,매출,증가,사회관계망서비스,SNS,일상화,사진,영상,촬영,관심,소비자,트렌드,롯데하이마트,본격적,시작,매출,매출,결과,카메라,기간,25%,증가,브이,영상,사진,촬영,제작,SNS,콘텐츠,편리,미러리스,카메라,매출,기간,55%,신장,카메라,매출,상승,주도,미러리스,카메라,스마트폰,장착,카메라,이미지,센서,화소,화질,DSLR,수요,지속적,증가,롯데하이마트,2020년,카메라,상품군,품목별,미러리스,DSLR,디지털,매출,동향,카메라,결과,미러리스,매출,비중,2021년,55%,,5월,65%,,70%,지속적,증가,카메라,DSLR,매출,비중,기간,15%,디지털카메라,14%,감소,롯데하이마트,트렌드,반영,카메라,판매대,브랜드,미러리스,카메라,전면,배치,진열,15일,31일,고속,촬영,특화,캐논,미러리스,카메라,EOS-R,구매,구매,롯데모바일,상품권,제공,행사,진행,휴대용,휴대,프로젝터,매출,기간,6배,텐트,캠핑의자,캠핑그릴,버너,캠핑,용품,매출,4배,롯데하이마트,스마트,상품,팀장,날씨,외식,나들이,SNS,사진,영상,일상,카메라,인기,캐논,니콘,소니,브랜드,카메라,비교,구매","롯데하이마트,미러리스,sns,캐논,휴대용,dslr,나들이족,팀장,상품권,캠핑그릴,롯데모바일,품목별,캠핑의자,소비자,사회관계망서비스,6배","엔데믹을 맞아 나들이족이 늘면서 카메라 매출도 덩달아 증가하고 있다. 특히 사회관계망서비스(SNS)가 일상화되면서 사진이나 영상 촬영에 관심이 많은 소비자가 트렌드를 이끌고 있다.

9일 롯데하이마트에 따르면 본격적인 봄이 시작되는 3월 1일부터 5월 7일까지 매출을 살펴본 결과 카메라 매출이 작년 같은 기간보다 약 25% 증가한 것으로 나타났다.

특..",http://www.etnews.com/20230509000035,
01100901.20230509083419001,20230509,중앙일보,김지혜(kim.jihye6@joongang.co.kr),갤럭시Z 플립5 '얼굴' 확 커질 듯 최근 유출된 사진 보니,IT_과학>모바일, IT_과학>보안,,,,,,하단,"구글,애플,샘모바일,퀄컴,삼성전자","얼굴,갤럭시,플립,유출,사진,여름,공개,플립5,삼성전자,갤럭시,플립,크기,커버,디스플레이,사용성,개선,전망,샘모바일,해외,매체,유명,팁스터,유명,정보제공자,아이스유니버스,디자인,반영,플립5,케이스,투명,보호,사진,유출,사진,토대,플립5,모습,추측,커버,디스,플레이,전작,플립4,플립4,크기,커버,디스플레이,1.9인치,플립5,4인치,해외,매체,예상,커버,디스플레이,모양,전작,가로,길이,직사각,형태,출시,제품,세로,길이,정사각형,전망,보호,케이스,카메라,크기,렌즈,전작,동일,2개,탑재,하단,중앙,USB-C,포트,자리,커버,디스플레이,스마트폰,상태,사용,추측,성능,소모량,만큼,배터리,예상,삼성전자,해결,주목,매체들,해외,매체,애플리케이션,프로세서,AP,퀄컴,스냅드래곤,탑재,성능,전력,효율,평가,힌지,경첩,주름,개선,예상,폴더블,스마트폰,갤럭시,폴드,힌지,주름,개선,삼성전자,스마트폰,예상,시점,언팩,관심,삼성전자,반도체,적자,쇼크,어닝,기록,실적,개선,구원,투수,등판,구글,다음달,폴드,스마트폰,픽셀,출시,업계,시점,의견,삼성전자,그동안,폴더블폰,언팩,행사,8월,진행,플립5,폴드5,공개,8월,마지막,예상","삼성전자,플립,스마트폰,플립5,갤럭시,언팩,힌지,어닝,만큼,반도체,픽셀,폴드5,퀄컴,아이스유니버스,팁스터,제공자,스냅드래곤,구글,정보제공자","올해 여름 공개될 삼성전자 갤럭시Z 플립5의 커버 디스플레이 크기가 커지면서 사용성이 한층 개선될 것으로 전망된다. 
 
 9일 해외 IT 매체 샘모바일과 유명 IT 팁스터(정보제공자) 아이스유니버스 등에 따르면 이런 디자인을 반영한 플립5의 투명 보호 케이스로 보이는 사진이 최근 유출됐다. 
 
 이 사진을 토대로 플립5의 모습을 추측해보면 커버 디스..",https://www.joongang.co.kr/article/25161030,
01100801.20230509030638001,20230509,조선일보,백수진 기자,탑건보다 23년 앞선 ‘빨간 마후라’ 신영균 “내 보물은 흥행작 수백편 튼 영사기”,문화>영화, 문화>전시_공연, 문화>방송_연예,사고>산업사고>화재,,,"조종석,봉준호,강우석,신상옥,신영균,박찬욱,임권택,연산군,장미희 주연,황동혁,배창호,유지로,유현목,이장호","프랑스,미국,서울,일본,을지로입구역,홍콩,조선,충무로,한국,동남아,제주도,명보아트홀,미,신영영화박물관,제주,대만,대한민국,동두천,대한극장,남원","한주홀딩스코리아,영화박물관,일본,현대,서울대,넷플릭스,충무로,국도극장,한국영상자료원,공군,치의학과,유튜브,명동 호텔 28,영화사,미군기지,국립극단,스카라·,신영균예술문화재단,명보극장,명보제과 옆","탑건,23년,마후,신영균,보물,흥행작,영사기,현대사,보물,배우,신영균,전설,조선,탑건,크루즈,탑건,20년,1964년,우리나라,영화,채널,한국영상자료원,유튜브,영화,마후라,댓글들,특수,촬영,기법,시절,마후라,공군,전폭적,지원,실제,전투기,1940년대,전투기,기체,카메라,촬영,한국,공중전,촬영,블록버스터,영화,개봉,서울,관객,동원,1위,그해,흥행,기록,대만,동남아,수출,인기,마후라,상영,영사기,마후라,주인공,신영균,한주홀딩스코리아,명예,회장,호텔,지난달,서울,명동,출생연,1928년,이름,호텔,수입,명보극장,사용,일본,후지센트럴,영사기,전시,영화관,일제,영사기,영사기,국산,보편화,스크린,멀티플렉스,3층,규모,단관,관객들,영사기,필름,소리,영사기,도난,기사,사회면,정도,물건,조간신문,본지,동두천,미군,기지,보관,31만,원짜리,공무원,평균,봉급,영사기,기사,영사기,디지털,영사기,마후라,연산군,한국,영화사,흥행작,탄소,막대,카본,불빛,필름,카본식,영사기,여름,영사기,열기,남짓,영사실,찜통,5~6명,기사들,손잡이,탄소,막대,조정,필름,영사기,필름,재질,필름,상영,도중,필름,사고,회장,영사기,덕분,배우,신영균,목소리,필름,촬영,시대,영화사,필름,난리,필름,촬영,중단,낭패,소장,영사기,회장,한국,영화,전성기,증거물,스턴트맨,배우,맨몸,위험,장면,촬영,부지기수,회장,마후라,촬영,총알,조종석,유리창,장면,명사수,실탄,5인,해병,촬영,모래,배우들,실탄,사격,총알,모래,장면,실감,바람,카메라,서울대,치의학,졸업,신영균,회장,치과의사,국립극단,입단,연극배우,활동,시작,과부,영화,데뷔,연산군,영화제,대종상,남우주연상,톱스타,1960년대,200편,영화,제작,한국,영화,번째,회고,출연,동시,영화,영화,영화,촬영,회장,개인,재산,제주도,남원,한국,영화박물관,신영영화박물관,설립,일본,국민,배우,이시하라,유지로,1934~1987,기념관,한국,영화사,사료,소품들,체계적,전시,박물관,박물관,세계,각국,골동품들,수집,그중,물건,1939년,영화,바람,촬영,미셸,모션픽처,카메라,회장,물건,미국,프랑스,홍콩,세계,할리우드,영화인,수소문,골동품,바람,촬영,사용,카메라,충무로,시대,명보극장,회장,명보제과,건물,자신,대표작들,상영,명보극장,인수,명보극장,개관,스카라,단성사,대한극장,충무로,시대,극장,대한민국,대표,성춘향,연산군,사랑방,어머니,한국,영화사,흥행작들,빠삐용,지옥,묵시록,작품성,외화들,회장,안성기,장미희,주연,상영,관객들,극장,을지로입구역,회고,멀티플렉스,등장,극장,운영,단성사,피카디리,국도극장,호텔,오피스텔,충무로,영화인들,명보극장,생각,회장,명보극장,제주,신영영화박물관,500억,규모,재산,발전,한국,영화,사회,환원,건물,기부,아들,제안,용기,재단,설립,영화계,명보극장,보존,마음,신영균예술문화재단,명보아트홀,운영,한국,영화,산증인,넷플릭스,서비스,온라인,동영상,OTT,범람,격변,한국,영화,회장,영화관,문화,거대,스크린,전율,스마트폰,컴퓨터,모니터,재미,비교,변화,영상,예술,발전,영화계,인재들,변화,신상옥,유현목,이장호,배창호,강우석,임권택,감독들,전성기,봉준호,박찬욱,황동혁,감독,주역들,한국,영화,세계화,전환점,생각,영화인들,재능,한국,영화,미래,희망","영사기,한국,명보극장,마후라,신영균,흥행작,연산군,전성기,영화사,멀티플렉스,골동품,서울,영화인,충무로,박물관,탑건,단성사,명보제과,신영영화박물관,일본,영화관,영화인들,영화계,동두천,전투기,온라인","“이것이 말로만 듣던 전설의 조선 탑건.” “톰 크루즈의 탑건보다 20년 이상 앞섰네요. 1964년에 우리나라에서 이런 영화가 나오다니.” 
 
한국영상자료원 유튜브 채널에 올라와 있는 영화 ‘빨간 마후라’에는 이런 댓글들이 달렸다. 특수촬영 기법이 없던 시절, ‘빨간 마후라’는 공군의 전폭적인 지원을 받아 실제 F-86 전투기(1940년대 미 전투기..",https://www.chosun.com/culture-life/culture_general/2023/05/09/OUH7SVGILVCM5ANXQHJWP6IKSQ/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,
07100501.20230508161034001,20230508,전자신문,전자신문인터넷 이상원 기자,"알비언, 국제 투자은행 RCL MOU 체결",IT_과학>모바일, IT_과학>콘텐츠, 경제>무역,,,,명배영,"아시아,미국,영국,유럽,라스베이거스,런던","CES,레네보,히타치,전자신문,RCL,국제,알비언,투자은행,화웨이","알비언,체결,국제,투자,은행,RCL,MOU,증강현실,AR,미디어,서비스,실감,소셜,미디어,알비언,서비스,글로벌,진출,공략,알비언,국제,투자,은행,리미티트,레네보,캐피탈,RCL,자금,조달,서비스,잠재,비즈니스,기회,발굴,업무협약,MOU,체결,8일,알비언,RCL,1월,미국,라스베이거스,CES,알비언,독특,AR,미래,가치,방안,글로벌,비즈니스,진출,협력,논의,RCL,영국,런던,거점,유럽,미국,아시아,지사,보유,글로벌,전문,투자,은행,M&A,성장,회사,성장,자문,투자,거래,사업,히타치,화웨이,세계,기업,M&A,거래,성공적,업계,전문성,알비언,독자,AR,스마트폰,카메라,사용자,실생활,주변,환경,AR,경험,제공,미디어,서비스,실감,소셜,미디어,설립,스타트업,회사,이래,기업,설립,참가,CES,글로벌,기업,투자자,해외,언론,주목,출시,예정,서비스,데뷔,세계,무대,성공적,대표,알비언,명배영,알비언,경험,알비언,제공,특별,가치,평가,기업,알비언,중요,시점,세계적,투자,은행,파트너십,체결,달성,걸음,RCL,샌프란시스코,지사,제리,파나그로시,이사,알비언,AR,소셜,미디어,서비스,일반,사용자,기업,브랜드,매니저,마케터,광고주,일상,체험,혁신적,서비스,RCL,알비언,자금,조달,서비스,잠재,비즈니스,기회,발굴,적극,협력,알비언,서비스,실감,AR,소셜,미디어,알비언,6월,OBT,시작,미국,지역,정식,출시,예정,전자신문인터넷","알비언,ar,rcl,미국,사용자,소셜,런던,영국,레네보","증강현실(AR) 기반 실감형 소셜 미디어 앱 서비스를 만드는 알비언이 서비스의 글로벌 진출을 위한 본격 공략에 나선다.

알비언은 국제 투자은행인 레네보 캐피탈 리미티트(이하 RCL)와 자금 조달 및 앱 서비스 잠재 비즈니스 기회 발굴을 위한 업무협약(MOU)를 체결했다고 8일 밝혔다.

알비언과 RCL은 지난 1월미국 라스베이거스에서 열린 CES 20..",http://www.etnews.com/20230508000237,
02100601.20230508160955002,20230508,한국경제,이승우,구글도 참전 판 커지는 폴더블폰 시장,IT_과학>모바일, IT_과학>과학, IT_과학>콘텐츠,,,,,"망원,중국","구글,비보,IDC,삼성전자,화웨이","구글,참전,폴더블폰,시장,구글,폴더블폰,이달,구글,구글,연례,회의,구글,베일,삼성전자,시작,중국,업체,폴더블폰,운영체제,안드로이드,운영,체제,OS,구글,참전,폴더블폰,시장,확대,예상,정보,업계,구글,10일,현지시간,개막,구글,폴드,폴더블폰,픽셀,공개,정식,출시,다음달,예상,외신,공개,예상,이미지,픽셀,폴드,시리즈,삼성전자,갤럭시,폴드,인폴드,방식,채택,크기,139.7,158.7,갤럭시Z폴드4,155.1,130.1,대각선,길이,7.6인치,전체적,디스플레이,크기,픽셀,폴드,무게,갤럭시Z폴드4,후면,화소,기본,카메라,화소,초광각,카메라,망원,카메라,장착,전면,화소,셀피,카메라,내장,배터리,용량,4500mAh,밀리암페어시,메모리,12기가바이트,GB,저장,용량,256GB,,가지,전망,출고가,256GB,1799달러,240만,512GB,1919달러,256만,예상,폴더블폰,시장,그동안,삼성전자,주도,중국,업체,프리미엄,제품,공개,도전장,비보,지난달,갤럭시,시리즈,겨냥,비보X폴드2,비보X플립2,공개,오포,파인드,플립,중국,화웨이,메이트X3,폴더블폰,메이트,구글,폴더블폰,시장,업체들,맥락,전문가들,업계,전문가,평가,구글,자체,제작,시리즈,스마트폰,픽셀,시장,점유,픽셀,시리즈,안드로이드,OS,일종,레퍼런스폰,역할,그동안,폴더블폰,최적화,사용자환경,경험,UX,주도,삼성전자,안드로이드,OS,자체,제작,소프트웨어,적용,구글,폴더블폰,환경,OS,단계,내장,전망,스마트폰,시장,정체,상태,폴더블폰,성장,시장,조사,업체,IDC,규모,폴더블폰,시장,2140만,수준,50%,성장,50%,전망,2027년,연평균,성장,27.6%,시장,스마트폰,폴더블폰,비중,1.2%,3.5%,예상","폴더블폰,구글,삼성전자,픽셀,스마트폰,중국,플립,갤럭시,os,그동안,연평균,2140만,업체들","구글의 첫 폴더블폰이 이달 열리는 구글 연례 개발자 회의 ‘구글 I/O’에서 베일을 벗는다. 삼성전자를 시작으로 중국 업체들이 폴더블폰을 내놓는 가운데 안드로이드 운영체제(OS)를 개발하는 구글까지 참전하면서 폴더블폰 시장이 확대될 것으로 예상된다. 
 
8일 정보기술(IT) 업계에 따르면 구글은 10일(현지시간) 개막하는 구글 I/O에서 첫 폴더블폰 ..",https://www.hankyung.com/it/article/2023050888301,
07100501.20230508113810001,20230508,전자신문,전자신문인터넷 양민하 기자,'확' 커진 외부 화면...갤Z플립5 케이스 이미지 등장,IT_과학>모바일, IT_과학>콘텐츠,,,,,,,"샘모바일,전자신문,삼성전자","외부,화면,갤Z플립5,등장,케이스,이미지,갤럭시Z플립5,삼성전자,차세대,폴더블,스마트폰,갤럭시,플립,이미지,케이스,광고,등장,화제,기기,사용,외부,디스플레이,전작,7일,현지시간,샘모바일,외신,유명,팁스터,유명,정보유출자,아이스유니버스,인용,케이스,갤럭시,플립,공식,추정,이미지,공개,이미지,색상,케이스,갤럭시Z플립5,기기,확인,커버,화면,갤럭시Z플립4,1.9인치,카메라,제외,공간,차지,갤럭시Z플립5,활용도,외부,화면,활용,개선,기기,전화,수신,발신,문자,날씨,확인,설정,실행,갤럭시Z플립5,갤럭시Z폴드5,공개,전망,삼성전자,폴더블,신작,물방울,타입,힌지,적용,화면,주름,최소화,기기,디스플레이,디자인,전자신문인터넷","플립,갤럭시,갤럭시z플립5,삼성전자,폴더블,스마트폰,팁스터,아이스유니버스,유출자,샘모바일,전자신문인터넷,물방울,힌지,정보유출자,최소화,차세대,활용도,갤럭시z플립4,갤z플립5,갤럭시z폴드5,화면,기기,케이스,이미지,외부,유명,확인,디스플레이,공개,공식","삼성전자 차세대 폴더블 스마트폰 '갤럭시Z플립5'의 케이스 광고 이미지가 등장해 화제다. 기기를 닫은 채로 사용할 수 있는 외부 디스플레이가 전작보다 커졌다.

7일(현지시간) 샘모바일 등 외신은 유명 IT 팁스터(정보유출자) 아이스유니버스를 인용해 갤럭시Z플립5 공식 케이스로 추정되는 이미지를 공개했다.

해당 이미지에는 다양한 색상 케이스에 씌워진 ..",http://www.etnews.com/20230508000111,
